fid,extensao,consorcio,descricao_desvio,tipo_rota,shape_id,direcao,destino,servico,SHAPE__Length,tipo_dia
1,24049,Intersul,,regular,006j,0,Circular,LECD130,24049.6495734513,U
2,8502,Santa Cruz,,regular,01gk,1,Jardim Bangu,819,8502.54740146683,U
3,12723,Intersul,,regular,01o6,0,Circular,010,12723.3224919694,U
4,29403,Internorte,,regular,01vm,0,Copacabana,SN457,29403.611995876,U
5,25967,Santa Cruz,,regular,040z,1,Terminal Campo Grande,857,25967.9521245342,U
6,32495,MOBI-Rio,,brt,05z4,1,Estação Santa Eugênia,14,32495.7945453333,U
7,10980,Santa Cruz,,regular,087b,0,Terminal Curral Falso,807,10980.2658185709,U
8,20595,Intersul,,regular,0bhr,0,Leblon,476,20595.1397267419,U
9,30677,Santa Cruz,,regular,0cs8,1,Campo Grande,SN731,30677.6808768749,U
10,35725,Santa Cruz,,regular,0dno,0,Terminal Deodoro,853,35725.2178874139,U
11,23578,Transcarioca,,regular,0dz6,1,Merck,636,23578.4235372998,U
12,19648,Internorte,,regular,0ecz,1,Terminal Madureira,979,19648.3633136983,U
13,15590,Transcarioca,,regular,0f7c,0,Terminal Tanque,610,15590.0065561659,U
14,28709,Internorte,,regular,0mar,0,Méier,LECD148,28709.495470147,U
15,14254,Transcarioca,,regular,0piv,0,Jardim Oceânico,805,14254.7033335701,U
16,39214,Internorte,,regular,0psm,1,Pavuna,SR384,39214.4306663645,U
17,76697,Santa Cruz,,frescao,0qyy,0,Castelo,2338,76697.6729742462,D
18,25277,Intersul,,regular,0snx,0,Leblon,415,25277.1033854144,U
19,20663,Transcarioca,,regular,0tap,1,Cascadura,607,20663.8008778201,U
20,36760,Santa Cruz,,regular,0v09,0,Bonsucesso,918,36760.8999125831,U
21,14570,Intersul,,regular,0v6u,1,Terminal Gentileza,LECD128,14570.6757073632,U
22,31020,Santa Cruz,,regular,0xz6,0,Penha,926,31020.99711352,U
23,21811,Internorte,,regular,0zxr,1,Pavuna,SN919,21811.4998076842,U
24,36646,Santa Cruz,,regular,10f900a8-7a30-43b5-a2a3-bde69060e1be,1,Jardim Violeta,918,36646.1577604217,U
25,28980,Santa Cruz,,regular,18ex,1,Terminal Campo Grande,786,28980.456371626,U
26,26351,Intersul,,regular,1bx4,0,Circular,583,26351.2486675371,U
27,17901,Intersul,,regular,1gob,0,Candelária,275,17901.2069747093,U
28,44313,Santa Cruz,,regular,1gvc,0,Candelária,393,44313.4682488095,U
29,75873,Santa Cruz,,frescao,1h0q,1,Santa Cruz,2335,75873.8259727264,D
30,9618,Santa Cruz,,regular,1hbz,0,Circular,848,9618.46165491992,U
31,38445,Internorte,,regular,1kei,1,Mariópolis,624,38445.1662056847,U
32,15567,Internorte,,regular,1kyc,1,Metrô Pavuna,779,15567.3875615041,U
33,21282,Intersul,,regular,1lr2,0,Leme,472,21282.0189343839,U
34,24552,Transcarioca,,regular,1oge,1,Terminal Alvorada,645,24552.9623188974,U
35,31160,Transcarioca,,regular,1pky,1,Curicica,390,31160.5873036136,U
36,46718,Santa Cruz,,regular,1t8g,1,Santa Cruz,753,46718.4647996498,U
37,7167,Intersul,,regular,1u7u,1,Silvestre,507,7167.09947734866,U
38,37512,Transcarioca,,regular,1v5q,0,Candelária,348,37512.6207231123,U
39,24550,Santa Cruz,,regular,1wc6,1,Campo Grande,798,24550.1234862769,U
40,66578,Santa Cruz,,frescao,1yig,1,Jardim 7 de Abril,2307,66578.8238100361,U
41,30073,Internorte,,regular,1zaw,1,Rocha Miranda,277,30073.7846767949,U
42,12227,Internorte,,regular,1zgs,1,Bancários,SP329,12227.1310985246,U
43,28500,Santa Cruz,,regular,20499ff4-30d6-456b-9bd8-22499cef7898,0,Cascadura,786,28500.692746473,U
44,12247,Intersul,,regular,2114,1,Silvestre,SN007,12247.0357650384,U
45,27881,Internorte,,regular,23wj,0,Castelo,321,27881.5631416855,U
46,13288,Santa Cruz,,regular,23xf,0,Campo Grande,826,13288.2530898074,U
47,32591,Santa Cruz,,regular,24807403-078d-4c2f-b592-d01ab51a9f49,0,Terminal Deodoro,883,32591.7754860956,U
48,32769,Santa Cruz,,regular,28lk,1,Santíssimo,737,32769.0120347313,U
49,23025,Santa Cruz,,regular,2auo,1,Largo do Mendanha,765,23025.7644535116,U
50,25600,Internorte,,regular,2bjt,0,Méier,669,25600.1530034234,U
51,16486,Internorte,,regular,2bk6,0,Circular,LECD145,16486.0446747319,U
52,19213,Internorte,,regular,2bl8,0,Terminal Gentileza,SV606,19213.9326364377,U
53,16335,Internorte,,regular,2cls,1,Camarista Méier,247,16335.673809761,U
54,51332,Santa Cruz,,frescao,2cxi,1,Santa Cruz,2802,51332.4723952964,U
55,17403,Internorte,,regular,2dzj,0,Passeio,247,17403.2127251428,U
56,65821,Santa Cruz,,frescao,2hap,0,Carioca,2307,65821.5844942721,U
57,29779,Internorte,,regular,2kyb,0,Rio Comprido,711,29779.0102628911,U
58,31671,Transcarioca,,regular,2okt,1,Terminal Alvorada,LECD137,31671.5587083736,U
59,18669,MOBI-Rio,,regular,2prh,1,Pingo D'Água,28,18669.7730902559,U
60,34462,Internorte,,regular,2q3o,1,Bananal,634,34462.3311847627,U
61,21583,Internorte,,regular,2s0c,1,Água Santa,238,21583.9545496157,U
62,19949,Internorte,,regular,2so3,1,Marechal Hermes,650,19949.2930695386,U
63,23989,Transcarioca,,regular,2ubr,0,Marechal Hermes,785,23989.0214602302,U
64,11982,Internorte,,regular,2uyg,1,Metrô Pavuna,LECD143,11982.7892196742,U
65,19993,Intersul,,regular,2xcp,0,Gávea,410,19993.8935126777,U
66,33623,Santa Cruz,,regular,34402958-de24-498e-b913-3f70f5311747,1,Realengo,383,33623.4698394654,U
67,33052,Transcarioca,,regular,35bu,1,Curicica,380,33052.0482840998,U
68,29606,Internorte,,regular,36rt,1,Pavuna,946,29606.9680370339,U
69,26192,Santa Cruz,,regular,39c58c88-de37-45d8-9d68-8214aa8ede64,1,Sepetiba,884,26192.4345686294,U
70,24724,MOBI-Rio,,brt,39wo,0,Terminal Alvorada,52,24724.9612590946,U
71,22218,Transcarioca,,regular,39yj,0,Recreio dos Bandeirantes,954,22218.5561037105,U
72,7664,Santa Cruz,,regular,3c5abdb6-dfca-4983-92bd-86aacca19055,1,Rio da Prata,846,7664.90608861134,U
73,10655,MOBI-Rio,,regular,3ets,1,Bangu,68,10655.3946327799,U
74,25443,Intersul,,regular,3f1i,1,Usina,SN415,25443.3224471623,U
75,30694,Transcarioca,,regular,3i7l,1,Terminal Gentileza,301,30694.481621627,U
